,Year,Revenue,Users
0,08,272,248.0
1,09,777,1104.0
2,10,1974,2071.0
3,11,3711,3064.0
4,12,5089,3919.0
5,13,7872,4682.0
6,14,12466,5336.0
7,15,17928,6067.0
8,16,27638,7014.0
9,17,40653,8143.0
10,18,55838,9021.0
11,19,70697,9736.0
12,20,85965,10841.0
13,21,117929,11570.0
14,22,116609,11791.0
15,23,134902,12133.0
