Year;NoY;Revenue;Users
2007;1;153;
2008;2;272;124
2009;3;777;276
2010;4;1974;517
2011;5;3711;766
2012;6;5089;979
2013;7;7872;1170
2014;8;12466;1334
2015;9;17928;1516
2016;10;27638;1753
2017;11;40653;2035
2018;12;55838;2255
2019;13;70697;2434
2020;14;85965;2710
2021;15;117929;2892
2022;16;116609;2947
2023;17;134902;3033
2024;18;164501;
